T(K)	C
 4.82240245979444E+0000	 4.49951465591903E-0008
 4.86919009950505E+0000	 4.66104037426291E-0008
 4.91460461305714E+0000	 4.74307636900591E-0008
 4.96742370325446E+0000	 4.94545919418255E-0008
 5.02032152841753E+0000	 5.05287507153399E-0008
 5.06473024125047E+0000	 5.19600742429788E-0008
 5.11549718248383E+0000	 5.32298945103161E-0008
 5.16615980168970E+0000	 5.51003100967810E-0008
 5.21757268492391E+0000	 5.65898228382673E-0008
 5.26789322747682E+0000	 5.78467650739438E-0008
 5.31983563273723E+0000	 5.99635947416057E-0008
 5.39001058625853E+0000	 6.13625958673827E-0008
 5.42965016969785E+0000	 6.30978181595034E-0008
 5.48355333410968E+0000	 6.51276054352203E-0008
 5.53783571484005E+0000	 6.70063549095101E-0008
 5.59457554509898E+0000	 6.89418940186532E-0008
 5.64879539032606E+0000	 7.09268703327151E-0008
 5.70515990801965E+0000	 7.27066565112399E-0008
 5.76865424929121E+0000	 7.50989647299791E-0008
 5.83420864159687E+0000	 7.70910903392256E-0008
 5.88075730482154E+0000	 7.92624905576988E-0008
 5.93834959544052E+0000	 8.08004450679044E-0008
 5.99982701246495E+0000	 8.45217935591287E-0008
 6.06108763422710E+0000	 8.63361508777525E-0008
 6.12198222878990E+0000	 8.82694823097938E-0008
 6.18155346699894E+0000	 9.23690203007523E-0008
 6.24341417881048E+0000	 9.42081416840917E-0008
 6.31005799800229E+0000	 9.62163370638463E-0008
 6.36723861362972E+0000	 1.00465775803558E-0007
 6.43227778763917E+0000	 1.01151571380190E-0007
 6.49831586287144E+0000	 1.07578728856390E-0007
 6.56060002682163E+0000	 1.05498858642451E-0007
 6.62630550802051E+0000	 1.11921363056366E-0007
 6.69082738872242E+0000	 1.13464649579725E-0007
 6.77869244011588E+0000	 1.17191256947633E-0007
 6.82467009552145E+0000	 1.19669346177396E-0007
 6.89426547000030E+0000	 1.23369748559176E-0007
 6.96330449242093E+0000	 1.26476956180144E-0007
 7.03345860535713E+0000	 1.28975184222264E-0007
 7.10338143047489E+0000	 1.32756037797682E-0007
 7.17531292889432E+0000	 1.36720789442671E-0007
 7.24476964185138E+0000	 1.40101630736185E-0007
 7.31979948093502E+0000	 1.44534737854178E-0007
 7.39571915567645E+0000	 1.48922324651641E-0007
 7.47066605549290E+0000	 1.53191268395992E-0007
 7.53855798363639E+0000	 1.56595537232183E-0007
 7.61758824587926E+0000	 1.61312878974947E-0007
 7.69736931984819E+0000	 1.65734526042082E-0007
 7.77393061625703E+0000	 1.69819191516232E-0007
 7.83522428290795E+0000	 1.73990582480966E-0007
 7.91656114835218E+0000	 1.78315793587688E-0007
 7.99932976820818E+0000	 1.83674182864688E-0007
 8.08931739410353E+0000	 1.88966732010109E-0007
 8.17383992347809E+0000	 1.94442278466263E-0007
 8.24963353984398E+0000	 1.99075619282564E-0007
 8.32689462127969E+0000	 2.04386564101262E-0007
 8.41414001884007E+0000	 2.10233486053105E-0007
 8.51866482791555E+0000	 2.16781775476211E-0007
 8.58896137014745E+0000	 2.21528225869514E-0007
 8.68207857360535E+0000	 2.28078964050887E-0007
 8.75504115600770E+0000	 2.33164408296369E-0007
 8.84420174536052E+0000	 2.39467034493906E-0007
 8.93040231365873E+0000	 2.45928005233561E-0007
 9.01070214561993E+0000	 2.51387700484699E-0007
 9.10219200208034E+0000	 2.58561567720604E-0007
 9.20757975253040E+0000	 2.65766604860961E-0007
 9.29157723338652E+0000	 2.72674507540189E-0007
 9.39174215922105E+0000	 2.80004545817302E-0007
 9.48501777625505E+0000	 2.87641157749028E-0007
 9.57951115983986E+0000	 2.95142274799923E-0007
 9.66479326285624E+0000	 3.02096425429496E-0007
 9.76761214577864E+0000	 3.10248941336616E-0007
 9.87210647544954E+0000	 3.18924168008101E-0007
 9.96196841825856E+0000	 3.26560968265966E-0007
 1.00814321081030E+0001	 3.36079865596031E-0007
 1.01628080254116E+0001	 3.43868250269480E-0007
 1.02651813548696E+0001	 3.53264150459844E-0007
 1.03638789490700E+0001	 3.61878108994448E-0007
 1.04680861068422E+0001	 3.70986864100548E-0007
 1.05785154639085E+0001	 3.81315518123438E-0007
 1.06841918272512E+0001	 3.90454535408616E-0007
 1.07806561258436E+0001	 4.00584000646832E-0007
 1.08864602936709E+0001	 4.09443484449794E-0007
 1.10166324265217E+0001	 4.22540337597181E-0007
 1.11213595192689E+0001	 4.32482443803618E-0007
 1.12307227437011E+0001	 4.44202005537397E-0007
 1.13375516344738E+0001	 4.54986744963203E-0007
 1.14441729144716E+0001	 4.65225100181757E-0007
 1.15489652146626E+0001	 4.75882536034272E-0007
 1.16543941327469E+0001	 4.87387469252131E-0007
 1.17959373614523E+0001	 5.02701133649692E-0007
 1.19228657753231E+0001	 5.16207879490525E-0007
 1.20405494296352E+0001	 5.29552654720968E-0007
 1.21621426760877E+0001	 5.43295094444981E-0007
 1.22831526776826E+0001	 5.57040629009073E-0007
 1.24011096086293E+0001	 5.71064486599398E-0007
 1.25149284510930E+0001	 5.83064850651773E-0007
 1.26536589648112E+0001	 5.99153636234808E-0007
 1.27958080444764E+0001	 6.16863379534321E-0007
 1.29029159358310E+0001	 6.30296395044024E-0007
 1.30294511891032E+0001	 6.45734853084050E-0007
 1.31642487985137E+0001	 6.62847099870109E-0007
 1.32922270071354E+0001	 6.79270370253040E-0007
 1.34326955298428E+0001	 6.95839509318256E-0007
 1.35661488993192E+0001	 7.14229023452541E-0007
 1.36893467563705E+0001	 7.30549261827188E-0007
 1.38523722746280E+0001	 7.51328960811021E-0007
 1.39798706625769E+0001	 7.68748233348323E-0007
 1.41241542661176E+0001	 7.88734043802638E-0007
 1.42687889058033E+0001	 8.08705833037194E-0007
 1.44042350878352E+0001	 8.26909624119695E-0007
 1.45549418113333E+0001	 8.49382144747189E-0007
 1.47046799606125E+0001	 8.69919889349073E-0007
 1.48759434615498E+0001	 8.95555904365150E-0007
 1.49832198528992E+0001	 9.11652353889208E-0007
 1.51209482918008E+0001	 9.32952792858159E-0007
 1.52881585401360E+0001	 9.58055142477502E-0007
 1.54447480060140E+0001	 9.82722691180177E-0007
 1.55927576357463E+0001	 1.00485415586785E-0006
 1.57559778104856E+0001	 1.03067164071426E-0006
 1.59066674985146E+0001	 1.05470472050377E-0006
 1.60831773969737E+0001	 1.08273446174699E-0006
 1.62298793365154E+0001	 1.10721649587730E-0006
 1.63991969449216E+0001	 1.13537810976148E-0006
 1.65420566966906E+0001	 1.15942442655752E-0006
 1.67121314954926E+0001	 1.18769544422384E-0006
 1.68869408437761E+0001	 1.21837475910886E-0006
 1.70516430565310E+0001	 1.24693878065906E-0006
 1.72673236789945E+0001	 1.28435663168007E-0006
 1.73976721799303E+0001	 1.30868063735556E-0006
 1.75706399343131E+0001	 1.34039690207013E-0006
 1.77413481140819E+0001	 1.37083085775488E-0006
 1.79353481867478E+0001	 1.40647708350859E-0006
 1.81186385739677E+0001	 1.44011664963982E-0006
 1.82910710887364E+0001	 1.47348394853639E-0006
 1.84785177402483E+0001	 1.50970676359464E-0006
 1.86924069452194E+0001	 1.54948774355689E-0006
 1.88240396921111E+0001	 1.57617369653465E-0006
 1.90171069779633E+0001	 1.61612565369109E-0006
 1.92142337513442E+0001	 1.65362803221647E-0006
 1.94028427377992E+0001	 1.69187060179997E-0006
 1.95903676543403E+0001	 1.73001066344160E-0006
 1.97901456919547E+0001	 1.77180301899726E-0006
 1.99803877862303E+0001	 1.80974432834783E-0006
 2.01933896128948E+0001	 1.85521264538989E-0006
 2.03890492200885E+0001	 1.89584844551713E-0006
 2.06273553623942E+0001	 1.95170638445786E-0006
 2.08066081455568E+0001	 1.99312786074500E-0006
 2.10063743650349E+0001	 2.03922187239925E-0006
 2.12234641906494E+0001	 2.08823626035137E-0006
 2.14460148004185E+0001	 2.13621081457927E-0006
 2.16482561285097E+0001	 2.18280759970299E-0006
 2.18569067965793E+0001	 2.23103488874744E-0006
 2.20953747573884E+0001	 2.28712618858534E-0006
 2.23300857493536E+0001	 2.34271107587107E-0006
 2.25527024490398E+0001	 2.39405209951955E-0006
