T(K)	C
 8.16643729770343E+0000	 1.09954389024148E-0006
 8.24963841654604E+0000	 1.13207598162462E-0006
 8.33179424507723E+0000	 1.16843406468679E-0006
 8.40922505970096E+0000	 1.20002314960965E-0006
 8.49999645971729E+0000	 1.23620842664544E-0006
 8.58630482282694E+0000	 1.27588194747931E-0006
 8.68674568574166E+0000	 1.25923325318332E-0006
 8.75334782644684E+0000	 1.34105256204185E-0006
 8.84369678443859E+0000	 1.38589829293061E-0006
 8.93493554019659E+0000	 1.42902416601836E-0006
 9.02165236003860E+0000	 1.47244653562186E-0006
 9.10910337853555E+0000	 1.51624651233771E-0006
 9.20274434275372E+0000	 1.56062300914443E-0006
 9.29296337984612E+0000	 1.60692199648488E-0006
 9.40363721494400E+0000	 1.60282428581665E-0006
 9.48003923824590E+0000	 1.69603296271140E-0006
 9.57465191093840E+0000	 1.75091441839433E-0006
 9.67044716777207E+0000	 1.80513716210640E-0006
 9.76610712122092E+0000	 1.86438336971785E-0006
 9.86014835147956E+0000	 1.91653931224704E-0006
 9.96342685232124E+0000	 1.97383537791229E-0006
 1.00692193222106E+0001	 2.04203117281140E-0006
 1.01797998699376E+0001	 2.02000800171430E-0006
 1.02650771777344E+0001	 2.15504988355015E-0006
 1.03693530365959E+0001	 2.22401034761712E-0006
 1.04750485767605E+0001	 2.29849316628189E-0006
 1.05803144373718E+0001	 2.36943901032085E-0006
 1.06834839498839E+0001	 2.44056652664709E-0006
 1.07931537839671E+0001	 2.51407594251411E-0006
 1.08983018188289E+0001	 2.59524903859462E-0006
 1.10157765270094E+0001	 2.64591625471055E-0006
 1.11159123448322E+0001	 2.73504310231439E-0006
 1.12273103254202E+0001	 2.83427115059659E-0006
 1.13437766747848E+0001	 2.93557330168978E-0006
 1.14563674132432E+0001	 3.02516592606538E-0006
 1.15572224190686E+0001	 3.09574694176693E-0006
 1.16850045316287E+0001	 3.21004315368575E-0006
 1.18009674604446E+0001	 3.31156529742696E-0006
 1.19163282601684E+0001	 3.42074273637554E-0006
 1.20394800572130E+0001	 3.45399462808954E-0006
 1.21578600247670E+0001	 3.62408448766656E-0006
 1.22825812746137E+0001	 3.74876596431917E-0006
 1.24033605895633E+0001	 3.86553777673528E-0006
 1.25204642360460E+0001	 3.97599257076107E-0006
 1.26564995930477E+0001	 4.11475931000479E-0006
 1.27840016917971E+0001	 4.25218703243315E-0006
 1.29130618477605E+0001	 4.39852240429480E-0006
 1.30409541134239E+0001	 4.41988870437338E-0006
 1.31658811362482E+0001	 4.64244405841194E-0006
 1.33000937266946E+0001	 4.80301561935946E-0006
 1.34322065725943E+0001	 4.95913796763689E-0006
 1.35654065474862E+0001	 5.10498470020466E-0006
 1.36980941662258E+0001	 5.27114572885902E-0006
 1.38355338080795E+0001	 5.43991963404422E-0006
 1.39835018599936E+0001	 5.55865658346984E-0006
 1.41155262855277E+0001	 5.74149910588354E-0006
 1.42577654686625E+0001	 5.96668238662784E-0006
 1.43998522208114E+0001	 6.16570292600019E-0006
 1.45354430388548E+0001	 6.33724811894626E-0006
 1.46904052749784E+0001	 6.55415375101334E-0006
 1.48412171828122E+0001	 6.77026944205003E-0006
 1.49956653264953E+0001	 6.99777408817167E-0006
 1.51398858439203E+0001	 7.21709955369355E-0006
 1.53008058808837E+0001	 7.35583242815908E-0006
 1.54361817170299E+0001	 7.65135487717212E-0006
 1.55856080550040E+0001	 7.87815593558203E-0006
 1.57489757074304E+0001	 8.13213986071911E-0006
 1.59015865161702E+0001	 8.37829651633468E-0006
 1.60610984188411E+0001	 8.63759224291126E-0006
 1.62259817383979E+0001	 8.94244178233494E-0006
 1.64013334380001E+0001	 9.16070729161647E-0006
 1.65510301661220E+0001	 9.44360597560379E-0006
 1.67132915009946E+0001	 9.76411854493860E-0006
 1.68895276227860E+0001	 1.00573650119656E-0005
 1.70594143785638E+0001	 1.03836140210786E-0005
 1.72296149695646E+0001	 1.07009458141694E-0005
 1.74061002563988E+0001	 1.10467139861320E-0005
 1.75743811014429E+0001	 1.13916693494985E-0005
 1.77622145948248E+0001	 1.14976398308449E-0005
 1.79194402722627E+0001	 1.20147131765158E-0005
 1.81013454230920E+0001	 1.23864450571025E-0005
 1.82842165797988E+0001	 1.27756672610088E-0005
 1.84665759877666E+0001	 1.31716500617453E-0005
 1.86509905348430E+0001	 1.35653355236399E-0005
 1.88330577535210E+0001	 1.39526207558660E-0005
 1.90192972619195E+0001	 1.43985239083177E-0005
 1.92478129246450E+0001	 1.44614533289726E-0005
 1.94102392478164E+0001	 1.51748163178520E-0005
 1.96055458305124E+0001	 1.55954874315816E-0005
 1.98013009560877E+0001	 1.60864753383295E-0005
 1.99949170948097E+0001	 1.65530991918277E-0005
 2.01952108243982E+0001	 1.70084018862276E-0005
 2.03362145059622E+0001	 1.73600840623676E-0005
 2.12771406919846E+0001	 1.96466232163453E-0005
 2.14397331829993E+0001	 2.00254944138543E-0005
 2.16565890080077E+0001	 2.06193686667672E-0005
 2.18707500023976E+0001	 2.11307073016070E-0005
 2.20098890967318E+0001	 2.14731467419953E-0005
